title,titleshort,imageURL,description,facet1,ASS,facet2,AMS,facet3,GIP,facet4
Radio & Television,Radio__Television,image/communication.jpg,A program that prepares individuals to apply technical knowledge and skills to the production of radio and television programs. and related operations. under the supervision of broadcast and studio managers. directors. editors. and producers. Includes instruction in sound. lighting. and camera operation and maintenance; power and feed control; studio operations; production preparation; broadcast engineering; related computer applications; and specialized applications such as news. entertainment. live talk. sports. commercials. and taping.,"Communication, Journalism, and Related Programs","$35,900","$30,000-$39,999","$64,400","$60,000-$69,999",79.39%,60%-79%
Speech Communication,Speech_Communication,image/communication.jpg,A program that focuses on the scientific. humanistic. and critical study of human communication in a variety of formats. media. and contexts. Includes instruction in the theory and practice of interpersonal. group. organizational. professional. and intercultural communication; speaking and listening; verbal and nonverbal interaction; rhetorical theory and criticism; performance studies; argumentation and persuasion; technologically mediated communication; popular culture; and various contextual applications.,"Communication, Journalism, and Related Programs","$38,700","$30,000-$39,999","$64,400","$60,000-$69,999",66.41%,60%-79%
Visual Communication,Visual_Communication,image/communication.jpg,A program in the applied visual arts that focuses on the general principles and techniques for effectively communicating ideas and information. and packaging products. in digital and other formats to business and consumer audiences. and that may prepare individuals in any of the applied art media.,"Communication, Journalism, and Related Programs","$36,700","$30,000-$39,999","$58,700","$50,000-$59,999",59.95%,60%-79%
Computer Information Systems (CIS),Computer_Information_Systems_CIS,image/computer.jpg, A program that prepares individuals to assess the security needs of computer and network systems. recommend safeguard solutions. and manage the implementation and maintenance of security devices. systems. and procedures. Includes instruction in computer architecture. programming. and systems analysis; networking; telecommunications; cryptography; security system design; applicable law and regulations; risk assessment and policy analysis; contingency planning; user access issues; investigation techniques; and troubleshooting.,Computer and Information Sciences and Support Services,"$49,000","$40,000-$49,999","$84,800","$80,000-$89,999",73.06%,60%-79%
Computer Science (CS),Computer_Science_CS,image/computer.jpg,A program that focuses on computer theory. computing problems and solutions. and the design of computer systems and user interfaces from a scientific perspective. Includes instruction in the principles of computational science. computer development and programming. and applications to a variety of end-use situations.,Computer and Information Sciences and Support Services,"$58,400","$50,000-$59,999","$100,000","$100,000-$109,999",71.23%,60%-79%
Industrial Technology (IT),Industrial_Technology_IT,image/computer.jpg,A program that prepares individuals to apply basic engineering principles and technical skills in support of industrial engineers and managers. Includes instruction in optimization theory. human factors. organizational behavior. industrial processes. industrial planning procedures. computer applications. and report and presentation preparation.,Computer and Information Sciences and Support Services,"$49,700","$40,000-$49,999","$81,300","$80,000-$89,999",63.58%,60%-79%
Information Systems (IS),Information_Systems_IS,image/computer.jpg,A program that generally prepares individuals to provide and manage data systems and related facilities for processing and retrieving internal business information; select systems and train personnel; and respond to external data requests. Includes instruction in cost and accounting information systems. management control systems. personnel information systems. data storage and security. business systems networking. report preparation. computer facilities and equipment operation and maintenance. operator supervision and training. and management information systems policy and planning.,Computer and Information Sciences and Support Services,"$50,900","$50,000-$59,999","$86,700","$80,000-$89,999",70.33%,60%-79%
Information Technology (IT),Information_Technology_IT,image/computer.jpg,A program that focuses on the design of technological information systems. including computing systems. as solutions to business and research data and communications support needs. Includes instruction in the principles of computer hardware and software components. algorithms. databases. telecommunications. user tactics. application testing. and human interface design.,Computer and Information Sciences and Support Services,"$48,900","$40,000-$49,999","$81,700","$80,000-$89,999",67.08%,60%-79%
Management Information Systems (MIS),Management_Information_Systems_MIS,image/computer.jpg,A program that generally prepares individuals to provide and manage data systems and related facilities for processing and retrieving internal business information; select systems and train personnel; and respond to external data requests. Includes instruction in cost and accounting information systems. management control systems. personnel information systems. data storage and security. business systems networking. report preparation. computer facilities and equipment operation and maintenance. operator supervision and training. and management information systems policy and planning.,Computer and Information Sciences and Support Services,"$51,600","$50,000-$59,999","$88,600","$80,000-$89,999",71.71%,60%-79%
Telecommunications,Telecommunications,image/computer.jpg,A program that focuses on the design. implementation. and management of linked systems of computers. peripherals. and associated software to maximize efficiency and productivity. and that prepares individuals to function as network specialists and managers at various levels. Includes instruction in operating systems and applications; systems design and analysis; networking theory and solutions; types of networks; network management and control; network and flow optimization; security; configuring; and troubleshooting.,Computer and Information Sciences and Support Services,"$41,600","$40,000-$49,999","$76,600","$70,000-$79,999",84.13%,80%-99%
